date,no2,so2,o3,pm10,pm25
2024-01-12,25.551000000000002,3.5,23.15542857142857,16.621785714285714,10.114714285714285
2024-01-13,21.083333333333332,3.25,24.991083333333336,21.885333333333335,16.133416666666665
2024-01-14,20.55,3.45,21.54735,28.837349999999997,23.119049999999998
2024-01-15,34.3125,3.875,5.564,43.28352941176471,26.353529411764704
2024-01-16,24.23076923076923,3.076923076923077,15.353357142857144,34.15528571428571,17.337
2024-01-17,8.058823529411764,3.0,50.73741176470588,21.898470588235295,9.054529411764705
2024-01-18,15.294117647058824,2.9411764705882355,58.72588235294118,18.996647058823527,4.731529411764706
2024-01-19,14.416666666666666,2.9166666666666665,40.186846153846155,16.403538461538464,7.285461538461538
2024-01-20,9.5775,3.0,52.34438461538461,7.139230769230769,4.601692307692308
2024-01-21,10.5,3.0625,34.582625,9.133875,6.8614999999999995
2024-01-22,19.5,3.6666666666666665,24.46846153846154,13.763538461538461,9.564769230769231
2024-01-23,18.052666666666667,3.4166666666666665,23.2111875,21.2393125,15.185062499999999
2024-01-24,27.0625,3.75,20.796875,28.139625,19.3809375
2024-01-25,27.54357142857143,3.769230769230769,23.277533333333334,32.833733333333335,20.9712
2024-01-26,30.666666666666668,3.8333333333333335,22.40625,36.26266666666667,24.273749999999996
2024-01-27,21.148,3.3846153846153846,20.312866666666665,35.635266666666666,25.433666666666667
2024-01-28,17.405,3.4444444444444446,25.2715,29.000999999999998,21.7966
2024-01-29,26.771133333333335,3.857142857142857,23.354375,31.65325,21.9895625
2024-01-30,14.428571428571429,3.7142857142857144,12.4955,39.780125,25.943375
2024-02-01,16.956333333333333,4.0,28.008636363636366,42.591,25.212666666666667
2024-02-02,20.8125,4.0625,23.69875,40.2421875,24.838375
2024-02-03,16.375,4.0,31.575444444444443,45.452777777777776,25.24311111111111
2024-02-04,12.25,4.0,31.93614285714286,37.638714285714286,23.02992857142857
2024-02-05,28.922199999999997,4.214285714285714,34.6389375,35.2506875,23.7495625
2024-02-06,26.283,4.142857142857143,26.3566875,41.5886875,25.9069375
2024-02-07,23.003142857142855,4.384615384615385,41.89126666666667,36.23726666666666,19.623466666666666
2024-02-08,17.830222222222222,3.0,21.19,45.20988888888889,20.639222222222223
2024-02-09,13.1701875,2.0,46.71676470588235,39.36235294117647,16.23670588235294
2024-02-10,5.2,2.0,61.6,10.456399999999999,4.3605
2024-02-11,8.076923076923077,2.0,46.37885714285714,9.121857142857143,4.353642857142857
2024-02-12,17.789666666666665,2.0,45.713944444444444,8.031444444444444,5.1306111111111115
2024-02-13,15.620800000000001,1.9285714285714286,21.75086666666667,14.8192,9.240866666666667
2024-02-14,21.0,2.0833333333333335,20.34525,20.161916666666666,13.972833333333334
2024-02-15,21.46153846153846,2.1538461538461537,15.921692307692307,27.25223076923077,18.905461538461537
2024-02-16,21.571428571428573,2.0,41.06313333333333,17.393666666666665,10.161333333333335
2024-02-17,15.965066666666667,2.2142857142857144,34.7550625,14.6518125,9.7083125
2024-02-18,14.173142857142858,2.3076923076923075,38.74133333333334,18.643066666666666,14.719266666666666
2024-02-19,18.533333333333335,2.3333333333333335,31.40175,19.3333125,14.541812499999999
2024-02-20,20.009142857142855,2.3846153846153846,38.1894,20.824,13.841266666666666
2024-02-21,24.125,2.6875,41.162882352941175,17.96194117647059,11.399235294117647
2024-02-22,19.477,2.3846153846153846,28.194714285714287,25.157142857142855,16.09707142857143
2024-02-23,10.099894736842105,2.066666666666667,69.46074999999999,14.659299999999998,7.2572
2024-02-24,7.8365833333333335,2.0,60.28607692307693,9.279615384615385,4.693153846153846
2024-02-25,6.224230769230768,2.0833333333333335,51.115928571428576,11.18092857142857,5.720785714285715
2024-02-26,5.068388888888888,2.0,65.141,10.251947368421053,3.758684210526316
2024-02-27,7.071428571428571,2.0714285714285716,64.9774,7.913866666666666,3.706733333333333
2024-02-28,16.357142857142858,2.357142857142857,45.517857142857146,9.7155,6.067428571428572
2024-02-29,14.0,2.5384615384615383,40.29092857142857,16.0845,10.478
2024-03-01,14.076923076923077,2.5384615384615383,58.80630769230769,13.70776923076923,7.563538461538462
2024-03-02,9.181818181818182,2.1818181818181817,48.434416666666664,14.948083333333335,7.904333333333334
2024-03-03,8.349263157894736,2.3333333333333335,75.36915789473684,11.020842105263158,5.70278947368421
2024-03-04,11.229888888888889,2.0,47.946888888888886,12.877666666666666,6.475888888888889
2024-03-05,10.147066666666666,2.4615384615384617,57.1963125,14.8663125,8.276187499999999
2024-03-06,14.923076923076923,2.6153846153846154,50.304857142857145,16.636714285714287,9.364214285714285
2024-03-07,16.106125,2.2,44.9961875,20.34325,11.9263125
2024-03-08,8.236785714285714,2.076923076923077,65.42593333333333,11.993666666666666,6.244533333333333
2024-03-09,8.576333333333332,2.0,70.60446153846154,6.282307692307692,2.921307692307692
2024-03-10,4.75,2.0,64.69638461538462,7.559461538461538,3.502846153846154
2024-03-11,11.937714285714284,2.0,53.86307142857142,9.846785714285714,5.653571428571429
2024-03-12,17.384615384615383,2.3076923076923075,42.483538461538465,15.401692307692308,9.384153846153847
2024-03-14,14.6491875,2.0,46.24628571428571,20.6731875,12.1673125
2024-03-15,20.011615384615386,2.25,41.480384615384615,18.912923076923075,10.951230769230769
2024-03-16,13.498285714285714,2.076923076923077,40.803133333333335,19.093,11.1978
2024-03-17,10.0,2.0,51.0017,16.2645,9.9359
2024-03-18,15.307692307692308,2.076923076923077,51.27164285714286,22.087142857142858,12.220857142857142
2024-03-19,19.3125,2.5625,47.951764705882354,32.064235294117644,15.717823529411763
2024-03-20,10.090909090909092,2.0,43.80453846153846,52.79670588235294,20.78270588235294
2024-03-21,7.466666666666667,2.0,57.83611764705882,34.60205882352941,15.542411764705882
2024-03-22,23.466666666666665,2.2,67.33511764705884,52.773529411764706,20.679117647058824
2024-03-23,16.881733333333333,2.5,59.947599999999994,66.52013333333333,23.105666666666664
2024-03-24,12.727272727272727,2.1818181818181817,37.842636363636366,80.19090909090909,29.454545454545453
